321	388
73	203
386	62
279	241
518	409
880	321
354	161
206	323
745	154
773	275
859	358
779	257
445	83
302	278
689	398
717	239
134	344
103	12
414	111
318	30
552	424
66	134
275	296
453	444
315	288
516	431
37	356
747	421
412	78
357	221
233	282
129	67
282	295
59	110
809	251
779	177
183	123
740	29
962	420
88	193
154	271
560	383
855	446
366	357
14	160
909	184
312	53
695	406
253	218
844	373
186	443
771	371
836	72
958	193
49	51
979	197
196	197
888	313
175	204
37	107
229	124
703	389
909	42
731	200
313	424
767	374
295	115
54	402
481	190
379	39
384	415
745	142
304	295
586	213
200	278
870	159
665	274
197	411
518	229
24	213
870	227
575	238
759	38
708	232
839	131
178	359
359	339
526	102
190	215
129	230
