2572	1146
6148	2493
9309	2070
8876	485
9091	1818
8853	837
1263	1023
6032	1105
8171	827
9078	1773
1173	1497
9945	720
1158	591
4310	2311
3767	629
6181	2214
9112	1678
7704	2367
7418	521
4133	949
1299	494
3732	1568
2067	968
1210	470
9254	1955
4948	877
5565	2045
4723	1703
1647	1152
8025	784
7390	1511
3718	1736
5802	1264
6198	548
7418	1718
5130	702
5973	2156
4585	2469
6388	667
2080	836
9559	2485
1182	1893
9482	2187
1932	1026
3783	2375
6813	1136
6730	2462
2150	2073
7629	1737
1004	1703
2229	2302
2827	1286
5273	1760
1232	1283
9694	2068
1495	1726
4872	1453
3723	1933
6257	925
4618	2019
8452	1658
2865	1285
9970	1585
2997	949
8669	964
4301	2087
9913	2338
924	1255
2403	2171
6146	2158
1800	2363
7935	2500
3512	1847
7756	1564
2926	498
8651	2124
8641	1816
3285	1690
7048	1650
8871	2120
4690	1256
9203	1781
3495	695
3469	2168
2652	2131
7854	697
2467	2446
7164	1427
6292	841
8144	986
